1a69	3726.124316445
1a82	3536.095054307
1eix	4239.368921292
1ake	4061.835081712
1dxe	5648.032730497
1ag9	2023.134335302
1b9l	2003.124327793
1dfu	1730.469746302
1a6j	2352.860506277
1h16	6188.760776812
1ah9	1397.828019743
1gt7	4680.629104155
1gqt	8314.492152017
1eum	1909.158245099
1l6w	5158.506376121
1em8	2418.644438059
1i6o	4236.661843052
1fjj	3240.457662058
1ko5	2748.209404259
1m3u	4626.432204411
1mzg	2377.430028529
1h75	2133.188906553
1fm0	1895.322881808
1dcj	1817.824641817
1jx7	2153.398993640
1jw2	1268.737193515
1jns	4376.733905366
1k7j	2142.836573072
1pmo	8159.973551633
1p91	3064.241150731
1qtw	3892.600646875
1sv6	4141.651334279
1oro	3286.656496301
1rqj	4545.186167502
1zzm	2996.510920724
1q5x	3140.659060473
1w8g	3144.934401467
1zyl	5016.050900729
1yqq	5763.985824273
2gqr	4065.832291956
1u60	4335.086336922
1psu	3015.396263760
2fek	2176.410295370
1naq	2429.347227208
2d1p	2811.016746671
2ho9	3931.245951761
2hna	3270.910630124
1woc	2850.846874528
2a6q	1115.237694477
1pf5	2755.363928430
1t8k	1156.164874455
2hgk	1851.290600151
2hd3	2448.925754596
2axd	3207.916717825
1sg5	3167.220484452
2jo6	2138.130731451
1xn7	3843.290024172
2jee	3112.947611580
2pth	3461.853136510
3hwo	4462.916694508
4a2c	4264.264993892
1cli	5865.191641494
1fui	6883.259853303
1d2f	6023.519831340
3asv	3814.191577809
2o1c	2954.956246181
1gyt	5236.302941294
1glf	5635.969683110
2oq3	1578.368472012
2v81	3177.293152225
1ng9	13971.891466920
1ger	6485.273699483
1ksf	11606.262031084
1fts	12644.988508343
2yva	3907.797092981
1duv	4130.462818556
1ef9	4347.621879010
1svt	10074.077639021
1gqe	6000.496490833
2kc5	4141.584163981
1p7l	5693.300666215
3bmb	2930.824146646
2uyj	3191.172935560
1uuf	4966.050013800
1t4b	7232.863222967
1gz0	3713.510057977
1qf6	6965.497084715
1u0b	6145.216806723
3iv5	2888.994490552
3n1s	3257.921774980
1w78	5457.986076022
2fym	5750.006281619
2hg2	5873.933941135
2h1f	4931.453389117
1xvi	4705.282410092
2hnh	17761.568033522
2kfw	6451.042980635
2id0	10524.780916841
1xru	3527.935880124
2kx9	10893.679253361
2qcu	5634.946036058
2ptq	5906.779522498
2qvr	4736.887978725
2r5n	8218.879887409
2ww4	3507.492831202
2wiu	5000.814764235
3pco	12488.417992332
3m7m	3544.973961322
4g36	6548.316396009
3brq	5543.695637724
4im7	5783.085640740
4kn7	20791.808800918
3qou	4743.707722169
4e8b	3836.123438575
2jrx	3317.649700594
4iwx	5855.240535616
3ofo	3856.650454377
3nxc	2919.782197051
4hr7	6343.678620382
4dzd	3256.213523934
4fzw	6809.788678501
4dcm	6663.475855960
3gn5	2802.517682997
