1h16	0.435371942
1a69	0.497221998
1dxe	0.569397204
1a82	0.280369060
1eix	0.544148982
1ake	0.268332019
1i6o	0.572373898
1ag9	0.455462127
1fjj	0.391297631
1gqt	0.231515430
1gt7	0.395179657
1eum	0.476036376
1u0b	0.870682226
1m3u	0.682092864
1ksf	0.271067993
2fym	0.268652282
1fts	0.394078295
1fui	0.406780553
1ng9	0.350411295
2kx9	0.297962271
1pmo	0.303754300
2ptq	0.209499438
1uuf	0.526726620
1cli	0.516290003
2qcu	0.410886265
1ef9	0.321557556
1zzm	0.408744438
1l6w	0.520534612
1qtw	0.655176214
1d2f	0.414022100
1ger	0.323565018
1w78	0.515581591
1oro	0.472627640
1sv6	0.333212637
1p91	0.528907907
2hg2	0.504563687
2gqr	0.497619192
1dfu	0.288877049
2qvr	0.464939600
1yqq	0.255721973
1glf	0.486468422
4a2c	0.384206783
3hwo	0.572716533
1p7l	0.376074694
3m7m	0.181905886
1rqj	0.302523342
1duv	0.526935309
1xru	0.452480613
1ko5	0.246645773
1fm0	0.406376644
4kn7	0.278922833
2r5n	0.373970439
1a6j	0.641704173
1u60	0.375641579
2hnh	0.478173161
1pf5	0.720861320
1qf6	0.281166870
4iwx	0.285874001
3bmb	0.423213239
2v81	0.558633597
1xvi	0.577559374
2wiu	0.464144743
2uyj	0.454210516
1gqe	0.204556783
3ofo	0.471120433
4dzd	0.403347662
2yva	0.773259428
2id0	0.564079514
2o1c	0.256896990
1w8g	0.533938768
1svt	0.330518094
1k7j	0.455806894
2a6q	0.478774105
1gyt	0.345083986
1naq	0.532860347
3n1s	0.250126922
2ww4	0.516218491
3gn5	0.340113394
1t4b	0.320376099
3qou	0.267784048
4fzw	0.170550942
2hd3	0.363923116
4dcm	0.400392126
3brq	0.627184085
4hr7	0.364167637
1t8k	0.553992994
1woc	0.798030958
4im7	0.653455700
4g36	0.344929157
