1gt7	0.391848023
1h16	0.514059243
1eix	0.412304313
1a69	0.365496961
1ake	0.244667424
1dxe	0.220642514
1i6o	0.303909271
1ag9	0.479453654
1gqt	0.117541601
1eum	0.409291754
1em8	0.391827566
1jx7	0.497397017
1u0b	0.326213673
1m3u	0.450905097
1b9l	0.330503222
1dfu	0.519017612
1ksf	0.557751847
2fym	0.482593048
1fts	0.346303103
4a2c	0.332321380
2kx9	0.142663225
1fui	0.342044653
1pmo	0.193724518
1gz0	0.376016041
1ng9	0.170626955
1l6w	0.355846424
1ef9	0.328175531
1cli	0.313321606
2qcu	0.373073904
2ptq	0.248197727
1qtw	0.429772305
1d2f	0.318430163
1ger	0.387994062
1sv6	0.408283795
1p91	0.403510114
1ko5	0.459731011
1oro	0.395862169
2yva	0.316629469
2pth	0.354837710
3hwo	0.461346252
1rqj	0.347988069
2gqr	0.587599143
1q5x	0.312795610
1yqq	0.237059848
1duv	0.369422278
1p7l	0.300675775
1glf	0.313812654
4kn7	0.151988585
1xru	0.473609467
2d1p	0.397745223
1u60	0.348186475
1mzg	0.532299946
1fm0	0.454478157
2r5n	0.363895881
1a6j	0.377042948
3bmb	0.289042091
4iwx	0.308130355
1qf6	0.277146300
2hnh	0.208308361
1xvi	0.594588324
1psu	0.357670732
3nxc	0.422996140
4dzd	0.344565980
3pco	0.183167602
2wiu	0.370010765
2uyj	0.332044751
1gqe	0.217415835
2id0	0.258737614
2o1c	0.564842373
3ofo	0.276009193
2a6q	0.459611794
1svt	0.313453354
1gyt	0.247341996
1naq	0.414017630
2hd3	0.352787564
3n1s	0.244381407
2ww4	0.352804404
3gn5	0.325187060
1t4b	0.202427815
3brq	0.422622538
4fzw	0.155776936
1jw2	0.387217301
1t8k	0.593727132
4hr7	0.411952015
1woc	0.381182780
3iv5	0.173885949
2axd	0.109798415
2jrx	0.103914363
2jee	0.201688267
